src_index,src_id,assembly_uid,assembly_accession,organism,taxid,ftp_path,md5,filename
14,refseq-NZ-457401-PRJNA224116-SAMN02463705-GCF_000158415.2-.-Escherichia_sp._4_1_40B.fna,395418,GCF_000158415.2,Escherichia sp. 4_1_40B (enterobacteria),457401,genomes/all/GCF/000/158/415/GCF_000158415.2_Escherichia_sp_4_1_40B_V2/GCF_000158415.2_Escherichia_sp_4_1_40B_V2_genomic.fna.gz,14a15917353a85151a261ef5800678c1,GCF_000158415.2.fa.gz
15,refseq-NZ-469598-PRJNA224116-SAMN02463704-GCF_000157115.1-.-Escherichia_sp._3_2_53FAA.fna,376301,GCF_000157115.2,Escherichia coli (E. coli),562,genomes/all/GCF/000/157/115/GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2/GCF_000157115.2_Escherichia_sp_3_2_53FAA_V2_genomic.fna.gz,cfcb997eda88f0931677a642aba754ea,GCF_000157115.2.fa.gz
16,refseq-NZ-502347-PRJNA224116-SAMN02436276-GCF_000155105.1-.-Escherichia_albertii_TW07627.fna,181178,GCF_000155105.1,Escherichia albertii TW07627 (enterobacteria),502347,genomes/all/GCF/000/155/105/GCF_000155105.1_ASM15510v1/GCF_000155105.1_ASM15510v1_genomic.fna.gz,0347eee00a35c54e8dcc9a3db074d552,GCF_000155105.1.fa.gz
17,refseq-NZ-550694-PRJNA224116-SAMN02596695-GCF_000190495.1-.-Escherichia_fergusonii_B253.fna,462348,GCF_000190495.1,Escherichia fergusonii B253 (enterobacteria),550694,genomes/all/GCF/000/190/495/GCF_000190495.1_ASM19049v1/GCF_000190495.1_ASM19049v1_genomic.fna.gz,53b25c70c147754d43bf845e5c4e122e,GCF_000190495.1.fa.gz
18,refseq-NZ-564-PRJNA224116-SAMN03389646-GCF_000968895.1-.-Escherichia_fergusonii.fna,632911,GCF_000968895.2,Escherichia fergusonii (enterobacteria),564,genomes/all/GCF/000/968/895/GCF_000968895.2_ASM96889v2/GCF_000968895.2_ASM96889v2_genomic.fna.gz,6e3522a048654b65b650d494a5aae440,GCF_000968895.2.fa.gz
19,refseq-NZ-564-PRJNA224116-SAMN03400068-GCF_000968885.1-.-Escherichia_fergusonii.fna,632931,GCF_000968885.2,Escherichia fergusonii (enterobacteria),564,genomes/all/GCF/000/968/885/GCF_000968885.2_ASM96888v2/GCF_000968885.2_ASM96888v2_genomic.fna.gz,31af5152a506c9ec5961321c7660bd06,GCF_000968885.2.fa.gz
20,refseq-NZ-564-PRJNA224116-SAMN03400083-GCF_000968905.1-.-Escherichia_fergusonii.fna,632921,GCF_000968905.2,Escherichia fergusonii (enterobacteria),564,genomes/all/GCF/000/968/905/GCF_000968905.2_ASM96890v2/GCF_000968905.2_ASM96890v2_genomic.fna.gz,5d452a29adec30a4c1c0bbf63d7df90a,GCF_000968905.2.fa.gz
21,refseq-NZ-754327-PRJNA190203-SAMN02469839-NZ_AEJW-.-Escherichia_sp._TW09231.fna,542218,GCF_000208465.1,Escherichia sp. TW09231 (enterobacteria),754327,genomes/all/GCF/000/208/465/GCF_000208465.1_ASM20846v2/GCF_000208465.1_ASM20846v2_genomic.fna.gz,64346282bbd9278a6829dff7bc88d0f4,GCF_000208465.1.fa.gz
22,refseq-NZ-754330-PRJNA190202-SAMN02469834-NZ_AEJV-.-Escherichia_sp._TW09276.fna,542198,GCF_000208445.1,Escherichia sp. TW09276 (enterobacteria),754330,genomes/all/GCF/000/208/445/GCF_000208445.1_ASM20844v2/GCF_000208445.1_ASM20844v2_genomic.fna.gz,d91083ce61afd58988eb489db6f6a816,GCF_000208445.1.fa.gz
23,refseq-NZ-754331-PRJNA80729-SAMN02469841-NZ_AEME-.-Escherichia_sp._TW09308.fna,325308,GCF_000208565.1,Escherichia sp. TW09308 (enterobacteria),754331,genomes/all/GCF/000/208/565/GCF_000208565.1_ASM20856v2/GCF_000208565.1_ASM20856v2_genomic.fna.gz,24b056b69a3da2a966acecfdf81218ad,GCF_000208565.1.fa.gz
24,refseq-NZ-754332-PRJNA190207-SAMN02469840-NZ_AEKA-.-Escherichia_sp._TW10509.fna,542298,GCF_000208545.1,Escherichia sp. TW10509 (enterobacteria),754332,genomes/all/GCF/000/208/545/GCF_000208545.1_ASM20854v2/GCF_000208545.1_ASM20854v2_genomic.fna.gz,dd7f260a851798637b66d3db1f2cfd86,GCF_000208545.1.fa.gz
25,refseq-NZ-754336-PRJNA224116-SAMN02469845-NZ_AEJZ-.-Escherichia_sp._TW14182.fna,542278,GCF_000208525.1,Escherichia sp. TW14182 (enterobacteria),754336,genomes/all/GCF/000/208/525/GCF_000208525.1_ASM20852v2/GCF_000208525.1_ASM20852v2_genomic.fna.gz,128751956af1d672a70a6c462f020df7,GCF_000208525.1.fa.gz
26,refseq-NZ-909209-PRJNA190201-SAMN02469843-NZ_AEJU-.-Escherichia_albertii_TW08933.fna,542178,GCF_000208425.1,Escherichia albertii TW08933 (enterobacteria),909209,genomes/all/GCF/000/208/425/GCF_000208425.1_ASM20842v2/GCF_000208425.1_ASM20842v2_genomic.fna.gz,fa6f0ab7934df05dc5f63137e61858af,GCF_000208425.1.fa.gz
27,refseq-NZ-910237-PRJNA224116-SAMN02469832-NZ_AEJX-.-Escherichia_sp._TW15838.fna,542238,GCF_000208485.1,Escherichia sp. TW15838 (enterobacteria),910237,genomes/all/GCF/000/208/485/GCF_000208485.1_ASM20848v2/GCF_000208485.1_ASM20848v2_genomic.fna.gz,ebbed8b4888a442f22471c420b74855a,GCF_000208485.1.fa.gz
28,refseq-NZ-910238-PRJNA190205-SAMN02469844-NZ_AEJY-.-Escherichia_albertii_TW15818.fna,542258,GCF_000208505.1,Escherichia albertii TW15818 (enterobacteria),910238,genomes/all/GCF/000/208/505/GCF_000208505.1_ASM20850v2/GCF_000208505.1_ASM20850v2_genomic.fna.gz,db1fe7b8174852798e9fa0b787387b09,GCF_000208505.1.fa.gz
29,refseq-NZ-981367-PRJNA224116-SAMN02470542-GCF_000191665.1-.-Escherichia_fergusonii_ECD227.fna,495568,GCF_000191665.1,Escherichia fergusonii ECD227 (enterobacteria),981367,genomes/all/GCF/000/191/665/GCF_000191665.1_ecmda7/GCF_000191665.1_ecmda7_genomic.fna.gz,26fe5228009231725fc26cca3b236e7e,GCF_000191665.1.fa.gz
31,refseq-NC-216599-PRJNA224116-.-GCF_000283715.1-.-Shigella_sonnei_53G.fna,406998,GCF_000283715.1,Shigella sonnei 53G (enterobacteria),216599,genomes/all/GCF/000/283/715/GCF_000283715.1_ASM28371v1/GCF_000283715.1_ASM28371v1_genomic.fna.gz,e5537ee0109cfcf32a57b190e1022ade,GCF_000283715.1.fa.gz
33,refseq-NC-300268-PRJNA224116-SAMN02603601-GCF_000012025.1-.-Shigella_boydii_Sb227.fna,33128,GCF_000012025.1,Shigella boydii Sb227 (enterobacteria),300268,genomes/all/GCF/000/012/025/GCF_000012025.1_ASM1202v1/GCF_000012025.1_ASM1202v1_genomic.fna.gz,8b7b1e7f1cac2be2588ba2bc24a27081,GCF_000012025.1.fa.gz
34,refseq-NC-300269-PRJNA224116-SAMN02603602-GCF_000092525.1-.-Shigella_sonnei_Ss046.fna,114118,GCF_000092525.1,Shigella sonnei Ss046 (enterobacteria),300269,genomes/all/GCF/000/092/525/GCF_000092525.1_ASM9252v1/GCF_000092525.1_ASM9252v1_genomic.fna.gz,93f474b0254f4aef6bfd07e3dd1be3ab,GCF_000092525.1.fa.gz
35,refseq-NC-373384-PRJNA224116-SAMN02603604-GCF_000013585.1-.-Shigella_flexneri_5_str._8401.fna,34688,GCF_000013585.1,Shigella flexneri 5 str. 8401 (enterobacteria),373384,genomes/all/GCF/000/013/585/GCF_000013585.1_ASM1358v1/GCF_000013585.1_ASM1358v1_genomic.fna.gz,4a7c0d241cf2ca7810b82ae850addb95,GCF_000013585.1.fa.gz
36,refseq-NC-591020-PRJNA224116-SAMN02603122-GCF_000022245.1-.-Shigella_flexneri_2002017.fna,371978,GCF_000022245.1,Shigella flexneri 2002017 (enterobacteria),591020,genomes/all/GCF/000/022/245/GCF_000022245.1_ASM2224v1/GCF_000022245.1_ASM2224v1_genomic.fna.gz,204288807a124e6ffeb17d5a0ff81ab6,GCF_000022245.1.fa.gz
37,refseq-NZ-1118236-PRJNA224116-SAMN03276475-NZ_AMJZ-.-Shigella_boydii_08_0009.fna,241511,GCF_000815685.1,Shigella boydii 08-0009 (enterobacteria),1118236,genomes/all/GCF/000/815/685/GCF_000815685.1_ASM81568v1/GCF_000815685.1_ASM81568v1_genomic.fna.gz,125096701793015b717513bc0ccc3111,GCF_000815685.1.fa.gz
38,refseq-NZ-1210043-PRJNA224116-SAMN03025773-NZ_AMWM-.-Shigella_flexneri_S5644.fna,247111,GCF_000826695.1,Shigella flexneri S5644 (enterobacteria),1210043,genomes/all/GCF/000/826/695/GCF_000826695.1_ASM82669v1/GCF_000826695.1_ASM82669v1_genomic.fna.gz,fc55a325b751ac6086f2cdc52283489a,GCF_000826695.1.fa.gz
39,refseq-NZ-1210044-PRJNA224116-SAMN03276474-NZ_ANAN-.-Shigella_flexneri_S6162.fna,241641,GCF_000815945.1,Shigella flexneri S6162 (enterobacteria),1210044,genomes/all/GCF/000/815/945/GCF_000815945.1_ASM81594v1/GCF_000815945.1_ASM81594v1_genomic.fna.gz,62573b68e21dadcf6e04562727fdb470,GCF_000815945.1.fa.gz
40,refseq-NZ-1212562-PRJNA224116-SAMN03276476-NZ_AMJP-.-Shigella_flexneri_S5717.fna,241411,GCF_000815485.1,Shigella flexneri S5717 (enterobacteria),1212562,genomes/all/GCF/000/815/485/GCF_000815485.1_ASM81548v1/GCF_000815485.1_ASM81548v1_genomic.fna.gz,e7b2a0705203078f66c7bec3165b9924,GCF_000815485.1.fa.gz
41,refseq-NZ-1212563-PRJNA224116-SAMN03276472-NZ_AMJQ-.-Shigella_dysenteriae_S6205.fna,241441,GCF_000815495.1,Shigella dysenteriae S6205 (enterobacteria),1212563,genomes/all/GCF/000/815/495/GCF_000815495.1_ASM81549v1/GCF_000815495.1_ASM81549v1_genomic.fna.gz,9936bc2a17a5d54911b53b993812d3a8,GCF_000815495.1.fa.gz
42,refseq-NZ-1212564-PRJNA224116-SAMN03276480-NZ_AMJR-.-Shigella_sonnei_S6513.fna,241421,GCF_000815505.1,Shigella sonnei S6513 (enterobacteria),1212564,genomes/all/GCF/000/815/505/GCF_000815505.1_ASM81550v1/GCF_000815505.1_ASM81550v1_genomic.fna.gz,34f7c75e1a71c8a441fecafd5adf2d32,GCF_000815505.1.fa.gz
43,refseq-NZ-1212565-PRJNA224116-SAMN03276471-NZ_AMJS-.-Shigella_dysenteriae_S6554.fna,241431,GCF_000815515.1,Shigella dysenteriae S6554 (enterobacteria),1212565,genomes/all/GCF/000/815/515/GCF_000815515.1_ASM81551v1/GCF_000815515.1_ASM81551v1_genomic.fna.gz,be276d335ff0e52e111fa8a2d150973e,GCF_000815515.1.fa.gz
44,refseq-NZ-1212566-PRJNA224116-SAMN03276487-NZ_AMJT-.-Shigella_flexneri_S6585.fna,241451,GCF_000815565.1,Shigella flexneri S6585 (enterobacteria),1212566,genomes/all/GCF/000/815/565/GCF_000815565.1_ASM81556v1/GCF_000815565.1_ASM81556v1_genomic.fna.gz,2bad16dc8208e4f210d7e7e2454d12fc,GCF_000815565.1.fa.gz
45,refseq-NZ-1212567-PRJNA224116-SAMN03276467-NZ_AMJU-.-Shigella_boydii_S6614.fna,241471,GCF_000815585.1,Shigella boydii S6614 (enterobacteria),1212567,genomes/all/GCF/000/815/585/GCF_000815585.1_ASM81558v1/GCF_000815585.1_ASM81558v1_genomic.fna.gz,194d916f553b17684ee36ea484947b2b,GCF_000815585.1.fa.gz
46,refseq-NZ-1212568-PRJNA224116-SAMN03276483-NZ_AMJV-.-Shigella_flexneri_S6678.fna,241461,GCF_000815595.1,Shigella flexneri S6678 (enterobacteria),1212568,genomes/all/GCF/000/815/595/GCF_000815595.1_ASM81559v1/GCF_000815595.1_ASM81559v1_genomic.fna.gz,28d377d9db162dba4dce447d8d288c90,GCF_000815595.1.fa.gz
47,refseq-NZ-1212569-PRJNA224116-SAMN03276468-NZ_AMJW-.-Shigella_flexneri_S6764.fna,241481,GCF_000815625.1,Shigella flexneri S6764 (enterobacteria),1212569,genomes/all/GCF/000/815/625/GCF_000815625.1_ASM81562v1/GCF_000815625.1_ASM81562v1_genomic.fna.gz,e9325962002aabf677adcdc175856e95,GCF_000815625.1.fa.gz
48,refseq-NZ-1212570-PRJNA224116-SAMN03276488-NZ_AMJX-.-Shigella_boydii_S7334.fna,241491,GCF_000815645.1,Shigella boydii S7334 (enterobacteria),1212570,genomes/all/GCF/000/815/645/GCF_000815645.1_ASM81564v1/GCF_000815645.1_ASM81564v1_genomic.fna.gz,f2b7365fd7daf1b14e96e3a338d0c115,GCF_000815645.1.fa.gz
49,refseq-NZ-1212571-PRJNA224116-SAMN03276486-NZ_AMJY-.-Shigella_flexneri_S7737.fna,241501,GCF_000815665.1,Shigella flexneri S7737 (enterobacteria),1212571,genomes/all/GCF/000/815/665/GCF_000815665.1_ASM81566v1/GCF_000815665.1_ASM81566v1_genomic.fna.gz,8256fdef2bb5b026d9fb53799464c31f,GCF_000815665.1.fa.gz
50,refseq-NZ-1212573-PRJNA224116-SAMN03276466-NZ_AMKA-.-Shigella_boydii_08_0280.fna,241521,GCF_000815705.1,Shigella boydii 08-0280 (enterobacteria),1212573,genomes/all/GCF/000/815/705/GCF_000815705.1_ASM81570v1/GCF_000815705.1_ASM81570v1_genomic.fna.gz,6cca97ad7cf4a9b98d822ff3cdec07c8,GCF_000815705.1.fa.gz
51,refseq-NZ-1212574-PRJNA224116-SAMN03276484-NZ_AMKB-.-Shigella_boydii_08_2671.fna,241531,GCF_000815725.1,Shigella boydii 08-2671 (enterobacteria),1212574,genomes/all/GCF/000/815/725/GCF_000815725.1_ASM81572v1/GCF_000815725.1_ASM81572v1_genomic.fna.gz,f5e431d17e0ee15e55d4bb98187ae35e,GCF_000815725.1.fa.gz
52,refseq-NZ-1212575-PRJNA224116-SAMN03276479-NZ_AMKC-.-Shigella_boydii_08_2675.fna,241541,GCF_000815735.1,Shigella boydii 08-2675 (enterobacteria),1212575,genomes/all/GCF/000/815/735/GCF_000815735.1_ASM81573v1/GCF_000815735.1_ASM81573v1_genomic.fna.gz,ba02d34a8e3356b619d99e56052c1267,GCF_000815735.1.fa.gz
53,refseq-NZ-1212576-PRJNA224116-SAMN03276473-NZ_AMKD-.-Shigella_boydii_08_6341.fna,241551,GCF_000815765.1,Shigella boydii 08-6341 (enterobacteria),1212576,genomes/all/GCF/000/815/765/GCF_000815765.1_ASM81576v1/GCF_000815765.1_ASM81576v1_genomic.fna.gz,f3860089357a15bc52ae8e1119b45718,GCF_000815765.1.fa.gz
54,refseq-NZ-1212577-PRJNA224116-SAMN03276477-NZ_AMKE-.-Shigella_boydii_09_0344.fna,241561,GCF_000815785.1,Shigella boydii 09-0344 (enterobacteria),1212577,genomes/all/GCF/000/815/785/GCF_000815785.1_ASM81578v1/GCF_000815785.1_ASM81578v1_genomic.fna.gz,674a1a6890f44911514095e188c64189,GCF_000815785.1.fa.gz
55,refseq-NZ-1212578-PRJNA224116-SAMN03276489-NZ_AMKF-.-Shigella_flexneri_MT1457.fna,241601,GCF_000815805.1,Shigella flexneri MT1457 (enterobacteria),1212578,genomes/all/GCF/000/815/805/GCF_000815805.1_ASM81580v1/GCF_000815805.1_ASM81580v1_genomic.fna.gz,fbb3086ee84db65059a5f5f4f2ed2eb3,GCF_000815805.1.fa.gz
56,refseq-NZ-1212579-PRJNA224116-SAMN03276485-NZ_AMKG-.-Shigella_boydii_248_1B.fna,241581,GCF_000815835.1,Shigella boydii 248-1B (enterobacteria),1212579,genomes/all/GCF/000/815/835/GCF_000815835.1_ASM81583v1/GCF_000815835.1_ASM81583v1_genomic.fna.gz,134b1734e3857def51d15602fc6e9848,GCF_000815835.1.fa.gz
57,refseq-NZ-1212580-PRJNA224116-SAMN03276481-NZ_AMKH-.-Shigella_sonnei_08_7761.fna,241571,GCF_000815815.1,Shigella sonnei 08-7761 (enterobacteria),1212580,genomes/all/GCF/000/815/815/GCF_000815815.1_ASM81581v1/GCF_000815815.1_ASM81581v1_genomic.fna.gz,f2eacdead1fa3fed1b0bcba99fd621de,GCF_000815815.1.fa.gz
58,refseq-NZ-1212581-PRJNA224116-SAMN03276482-NZ_AMKI-.-Shigella_sonnei_08_7765.fna,241591,GCF_000815825.1,Shigella sonnei 08-7765 (enterobacteria),1212581,genomes/all/GCF/000/815/825/GCF_000815825.1_ASM81582v1/GCF_000815825.1_ASM81582v1_genomic.fna.gz,39a64ec5f0664068367194cd6f2e481b,GCF_000815825.1.fa.gz
59,refseq-NZ-1212582-PRJNA224116-SAMN03276469-NZ_AMKJ-.-Shigella_sonnei_09_1032.fna,241611,GCF_000815885.1,Shigella sonnei 09-1032 (enterobacteria),1212582,genomes/all/GCF/000/815/885/GCF_000815885.1_ASM81588v1/GCF_000815885.1_ASM81588v1_genomic.fna.gz,007791181794a417aa69aea85f3f186a,GCF_000815885.1.fa.gz
60,refseq-NZ-1212583-PRJNA224116-SAMN03276470-NZ_AMKK-.-Shigella_sonnei_09_2245.fna,241621,GCF_000815905.1,Shigella sonnei 09-2245 (enterobacteria),1212583,genomes/all/GCF/000/815/905/GCF_000815905.1_ASM81590v1/GCF_000815905.1_ASM81590v1_genomic.fna.gz,6e2a86a224141c431f19f74be9631afa,GCF_000815905.1.fa.gz
61,refseq-NZ-1212584-PRJNA224116-SAMN03276478-NZ_AMKL-.-Shigella_sonnei_09_4962.fna,241631,GCF_000815925.1,Shigella sonnei 09-4962 (enterobacteria),1212584,genomes/all/GCF/000/815/925/GCF_000815925.1_ASM81592v1/GCF_000815925.1_ASM81592v1_genomic.fna.gz,5d1aaabefc2fb4458ca3cda094375d28,GCF_000815925.1.fa.gz
62,refseq-NZ-1282357-PRJNA224116-SAMN02999960-GCF_000743955.1-.-Shigella_flexneri_2003036.fna,205481,GCF_000743955.1,Shigella flexneri 2003036 (enterobacteria),1282357,genomes/all/GCF/000/743/955/GCF_000743955.1_ASM74395v1/GCF_000743955.1_ASM74395v1_genomic.fna.gz,94a269e0646837dd19a3b9739efcfafd,GCF_000743955.1.fa.gz
63,refseq-NZ-1282358-PRJNA224116-SAMN02999961-GCF_000743995.1-.-Shigella_flexneri_Shi06HN006.fna,205491,GCF_000743995.1,Shigella flexneri Shi06HN006 (enterobacteria),1282358,genomes/all/GCF/000/743/995/GCF_000743995.1_ASM74399v1/GCF_000743995.1_ASM74399v1_genomic.fna.gz,dc86b113b14052765b02aa62e61510e0,GCF_000743995.1.fa.gz
64,refseq-NZ-1290392-PRJNA224116-SAMN02470147-NZ_AWOX-.-Shigella_flexneri_II_3_4_7_8_.fna,78471,GCF_000493265.1,"Shigella flexneri II:(3)4,7(8) (enterobacteria)",1290392,genomes/all/GCF/000/493/265/GCF_000493265.1_Shigella_flexneri_II_3_4_7_8_1.0/GCF_000493265.1_Shigella_flexneri_II_3_4_7_8_1.0_genomic.fna.gz,5462715a5731dc5e297a9dfc21462a8d,GCF_000493265.1.fa.gz
65,refseq-NZ-1353978-PRJNA224116-SAMN02469676-NZ_AURV-.-Shigella_sonnei_1DT_1.fna,63931,GCF_000467205.1,Shigella sonnei 1DT-1 (enterobacteria),1353978,genomes/all/GCF/000/467/205/GCF_000467205.1_Shigella_sonnei_strain_1DT-1/GCF_000467205.1_Shigella_sonnei_strain_1DT-1_genomic.fna.gz,3cf6953da980608fbf245ab1bf1ae94a,GCF_000467205.1.fa.gz
66,refseq-NZ-1353980-PRJNA224116-SAMN02469677-NZ_AURX-.-Shigella_dysenteriae_SD1D.fna,63951,GCF_000467245.1,Shigella dysenteriae SD1D (enterobacteria),1353980,genomes/all/GCF/000/467/245/GCF_000467245.1_Shigella_dysenteriae_strain_SD1D/GCF_000467245.1_Shigella_dysenteriae_strain_SD1D_genomic.fna.gz,af5311c20dd777937f2313a6f220c96b,GCF_000467245.1.fa.gz
67,refseq-NZ-1401259-PRJNA224116-SAMN03083603-NZ_AXUU-.-Shigella_dysenteriae_WRSd5.fna,81571,GCF_000499085.1,Shigella dysenteriae WRSd5 (enterobacteria),1401259,genomes/all/GCF/000/499/085/GCF_000499085.1_RRH_AFF/GCF_000499085.1_RRH_AFF_genomic.fna.gz,f4531a3aee5018e8a5c37c04d7b96575,GCF_000499085.1.fa.gz
68,refseq-NZ-1401327-PRJNA224116-SAMN03083602-NZ_AXUT-.-Shigella_dysenteriae_WRSd3.fna,81561,GCF_000499065.1,Shigella dysenteriae WRSd3 (enterobacteria),1401327,genomes/all/GCF/000/499/065/GCF_000499065.1_XNQ_WAC/GCF_000499065.1_XNQ_WAC_genomic.fna.gz,3a28cd61223daec49938f2f9a83d27e4,GCF_000499065.1.fa.gz
69,refseq-NZ-1434128-PRJNA224116-SAMN02437363-NZ_AZOG-.-Shigella_flexneri_Shi06AH66.fna,115271,GCF_000565505.1,Shigella flexneri Shi06AH66 (enterobacteria),1434128,genomes/all/GCF/000/565/505/GCF_000565505.1_ASM56550v1/GCF_000565505.1_ASM56550v1_genomic.fna.gz,175794202d608d83e6db2d9787fcb9f3,GCF_000565505.1.fa.gz
70,refseq-NZ-1434129-PRJNA224116-SAMN02437364-NZ_AZOH-.-Shigella_flexneri_Shi06GS43.fna,115281,GCF_000565525.1,Shigella flexneri Shi06GS43 (enterobacteria),1434129,genomes/all/GCF/000/565/525/GCF_000565525.1_ASM56552v1/GCF_000565525.1_ASM56552v1_genomic.fna.gz,09b709044bd7674e37e6e6092a232a48,GCF_000565525.1.fa.gz
71,refseq-NZ-1434130-PRJNA224116-SAMN02437365-NZ_AZOI-.-Shigella_flexneri_Shi06AH116.fna,115291,GCF_000565545.1,Shigella flexneri Shi06AH116 (enterobacteria),1434130,genomes/all/GCF/000/565/545/GCF_000565545.1_ASM56554v1/GCF_000565545.1_ASM56554v1_genomic.fna.gz,b71cad9fff663b47744bac7fa261bacb,GCF_000565545.1.fa.gz
72,refseq-NZ-1434131-PRJNA224116-SAMN02437366-NZ_AZOJ-.-Shigella_flexneri_Shi06GS07.fna,115301,GCF_000565565.1,Shigella flexneri Shi06GS07 (enterobacteria),1434131,genomes/all/GCF/000/565/565/GCF_000565565.1_ASM56556v1/GCF_000565565.1_ASM56556v1_genomic.fna.gz,07ddad617a050f08430997a192c6aae7,GCF_000565565.1.fa.gz
